No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,date_time,date_time_month,RAIN_GROUP
2093,2013,5,27,4,57,46,10,36,500,2,16.4,1003.5,15.9,0.4,NE,0.7,Aotizhongxin,5/27/2013 4:00,2013-05,No Rain
2094,2013,5,27,5,46,48,9,44,500,8,16.6,1003.4,16.3,0.1,NNE,1.2,Aotizhongxin,5/27/2013 5:00,2013-05,No Rain
2118,2013,5,28,5,72,84,3,61,800,11,17.9,999.2,17.4,0.6,N,0.5,Aotizhongxin,5/28/2013 5:00,2013-05,No Rain
2119,2013,5,28,6,73,91,3,56,800,11,17.9,999.5,17.4,0.3,NE,0.7,Aotizhongxin,5/28/2013 6:00,2013-05,No Rain
2120,2013,5,28,7,79,100,3,64,900,3,18.1,1000,17.6,0.2,W,0.9,Aotizhongxin,5/28/2013 7:00,2013-05,No Rain
2121,2013,5,28,8,103,73,3,70,1000,2,18.3,1000.9,17.8,0.4,SW,1.3,Aotizhongxin,5/28/2013 8:00,2013-05,No Rain
2122,2013,5,28,9,99,111,3,71,1300,2,18.6,1001.2,17.9,0.2,SW,0.5,Aotizhongxin,5/28/2013 9:00,2013-05,No Rain
2123,2013,5,28,10,87,108,5,76,1399,2,19.1,1000.5,18.3,0.2,ENE,1,Aotizhongxin,5/28/2013 10:00,2013-05,No Rain
2304,2013,6,4,23,77,100,3,61,1000,40,18.5,1006.8,17.8,3.3,SSE,0.6,Aotizhongxin,6/4/2013 23:00,2013-06,Light Rain
2305,2013,6,5,0,76,57,3,68,1100,31,18.5,1006.4,18.2,2.2,NW,0,Aotizhongxin,6/5/2013 0:00,2013-06,Light Rain
2306,2013,6,5,1,74,37,3,59,900,32,18.5,1005.9,18.2,0.9,NE,0.6,Aotizhongxin,6/5/2013 1:00,2013-06,No Rain
2308,2013,6,5,3,68,25,3,50,700,34,18.4,1005.7,18.1,0.1,E,0.7,Aotizhongxin,6/5/2013 3:00,2013-06,No Rain
2310,2013,6,5,5,62,26,3,51,600,28,18.5,1006.6,18.2,0.3,NE,0.8,Aotizhongxin,6/5/2013 5:00,2013-06,No Rain
2311,2013,6,5,6,81,44,3,37,900,42,18.5,1006.4,18.3,1.1,NE,1.1,Aotizhongxin,6/5/2013 6:00,2013-06,Light Rain
2312,2013,6,5,7,83,66,3,53,900,19,18.6,1007.4,18.4,1.8,NE,0.7,Aotizhongxin,6/5/2013 7:00,2013-06,Light Rain
2313,2013,6,5,8,68,70,3,60,1500,19,18.5,1007.2,18.3,0.5,E,0.9,Aotizhongxin,6/5/2013 8:00,2013-06,No Rain
2326,2013,6,5,21,182,202,3,67,1899,7,18.9,1006.6,17.7,0.1,E,0.9,Aotizhongxin,6/5/2013 21:00,2013-06,No Rain
2335,2013,6,6,6,152,167,3,39,1600,18,18.4,1006.2,17.7,0.1,N,0.4,Aotizhongxin,6/6/2013 6:00,2013-06,No Rain
2339,2013,6,6,10,90,35,3,53,2500,5,18.9,1005.5,18.4,0.1,NE,1.5,Aotizhongxin,6/6/2013 10:00,2013-06,No Rain
2349,2013,6,6,20,134,162,5,77,2500,3,19.7,1004.3,18.9,0.1,NNE,1,Aotizhongxin,6/6/2013 20:00,2013-06,No Rain
2361,2013,6,7,8,99,107,7,55,2000,4,19.5,1003.7,18.8,7.6,SE,1.1,Aotizhongxin,6/7/2013 8:00,2013-06,Moderate Rain
2362,2013,6,7,9,91,99,8,57,2200,4,19.3,1002.7,19,8.9,NNW,0.7,Aotizhongxin,6/7/2013 9:00,2013-06,Heavy Rain
2363,2013,6,7,10,94,99,10,55,2600,4,19.5,1003.4,19.2,1.3,E,0,Aotizhongxin,6/7/2013 10:00,2013-06,Light Rain
2364,2013,6,7,11,74,93,9,58,2700,5,19.8,1003.9,19.5,0.3,WSW,0.7,Aotizhongxin,6/7/2013 11:00,2013-06,No Rain
2365,2013,6,7,12,95,106,6,56,2299,6,20.2,1003.6,19.9,0.6,WSW,1.1,Aotizhongxin,6/7/2013 12:00,2013-06,No Rain
2378,2013,6,8,1,138,154,7,71,2100,6,19.8,1002.9,19.3,0.9,NE,0.7,Aotizhongxin,6/8/2013 1:00,2013-06,No Rain
2379,2013,6,8,2,143,151,6,63,2299,5,19.6,1002.6,19.3,1,SSE,0,Aotizhongxin,6/8/2013 2:00,2013-06,No Rain
2399,2013,6,8,22,161,226,8,86,2200,8,19.8,1002.3,19.5,0.1,E,0.5,Aotizhongxin,6/8/2013 22:00,2013-06,No Rain
2407,2013,6,9,6,106,99,10,62,2200,8,19.2,1003,16.4,0.1,N,3.9,Aotizhongxin,6/9/2013 6:00,2013-06,No Rain
2409,2013,6,9,8,12,12,7,45,300,33,17.6,1004.8,16.5,0.6,NNE,2.7,Aotizhongxin,6/9/2013 8:00,2013-06,No Rain
2410,2013,6,9,9,3,6,7,48,300,35,17.3,1005.2,16.5,1.4,NNE,2,Aotizhongxin,6/9/2013 9:00,2013-06,Light Rain
2413,2013,6,9,12,10,10,3,55,300,38,16.9,1006.4,16.3,3.2,NNE,1.5,Aotizhongxin,6/9/2013 12:00,2013-06,Light Rain
2414,2013,6,9,13,3,6,3,60,300,33,17.1,1006.5,16.5,2.1,N,1.7,Aotizhongxin,6/9/2013 13:00,2013-06,Light Rain
2415,2013,6,9,14,3,6,3,58,300,34,17.1,1006.8,16.6,1.6,NE,1.6,Aotizhongxin,6/9/2013 14:00,2013-06,Light Rain
2416,2013,6,9,15,12,6,3,56,300,34,17,1006.4,16.4,1.1,ENE,1.4,Aotizhongxin,6/9/2013 15:00,2013-06,Light Rain
2417,2013,6,9,16,10,10,3,56,300,38,17,1006.4,16.2,0.4,NE,1.2,Aotizhongxin,6/9/2013 16:00,2013-06,No Rain
2418,2013,6,9,17,13,13,3,51,300,38,17.1,1006.4,16.6,0.4,ENE,0.7,Aotizhongxin,6/9/2013 17:00,2013-06,No Rain
2419,2013,6,9,18,13,13,3,58,300,34,17.1,1006.7,16.6,0.2,NW,1,Aotizhongxin,6/9/2013 18:00,2013-06,No Rain
2427,2013,6,10,2,11,19,4,70,600,4,15.9,1007.8,15.7,0.1,SSE,0.7,Aotizhongxin,6/10/2013 2:00,2013-06,No Rain
2470,2013,6,11,21,47,101,3,134,700,36,19,1003.9,15.9,3.8,SW,2.6,Aotizhongxin,6/11/2013 21:00,2013-06,Light Rain
2471,2013,6,11,22,60,80,3,102,800,57,17.4,1004.4,16.8,3.6,SE,0.5,Aotizhongxin,6/11/2013 22:00,2013-06,Light Rain
2478,2013,6,12,5,25,40,3,78,700,26,15,1002.9,14.7,0.1,NE,0.7,Aotizhongxin,6/12/2013 5:00,2013-06,No Rain
2580,2013,6,16,11,193,246,55,106,2600,17,22.1,997.9,19.5,0.1,N,1.8,Aotizhongxin,6/16/2013 11:00,2013-06,No Rain
2581,2013,6,16,12,198,333,50,112,2500,9,21.1,997.7,19.2,0.2,ENE,1.5,Aotizhongxin,6/16/2013 12:00,2013-06,No Rain
2582,2013,6,16,13,201,228,39,118,2899,2,21.3,996.8,19.8,0.1,NE,1.2,Aotizhongxin,6/16/2013 13:00,2013-06,No Rain
2590,2013,6,16,21,193,204,24,105,2500,2,21.6,998.4,20.8,0.6,NE,1.2,Aotizhongxin,6/16/2013 21:00,2013-06,No Rain
2879,2013,6,28,22,279,120,24,54,2000,86,21.3,996,19.9,1,S,1.2,Aotizhongxin,6/28/2013 22:00,2013-06,No Rain
2881,2013,6,29,0,25,25,3,61,500,85,21,996.6,20.5,0.6,NNE,1.5,Aotizhongxin,6/29/2013 0:00,2013-06,No Rain
2882,2013,6,29,1,22,22,3,53,500,80,21,996.4,20.5,0.2,NE,1.7,Aotizhongxin,6/29/2013 1:00,2013-06,No Rain
2888,2013,6,29,7,68,21,3,57,700,26,21.9,999.1,21.1,0.1,ENE,0.9,Aotizhongxin,6/29/2013 7:00,2013-06,No Rain
2949,2013,7,1,20,193,39,22,89,2100,5,24.5,990.8,23.5,0.5,NE,1.1,Aotizhongxin,7/1/2013 20:00,2013-07,No Rain
2954,2013,7,2,1,30,30,4,27,500,58,21.1,989.3,20.6,0.1,NNE,1.8,Aotizhongxin,7/2/2013 1:00,2013-07,No Rain
3018,2013,7,4,17,24,73,5,34,300,224,22.9,988.3,21.4,3.2,E,1.3,Aotizhongxin,7/4/2013 17:00,2013-07,Light Rain
3019,2013,7,4,18,14,396,3,25,200,121,24,988.3,20.7,0.1,N,1.6,Aotizhongxin,7/4/2013 18:00,2013-07,No Rain
3071,2013,7,6,22,70,185,23,51,1200,143,21.9,997.8,21.1,6.4,SW,1.6,Aotizhongxin,7/6/2013 22:00,2013-07,Moderate Rain
3072,2013,7,6,23,39,83,4,20,300,151,21.9,996.6,21.2,2.4,SSE,1.5,Aotizhongxin,7/6/2013 23:00,2013-07,Light Rain
3073,2013,7,7,0,20,67,3,24,400,124,22,996.3,21.3,1.7,WSW,0.4,Aotizhongxin,7/7/2013 0:00,2013-07,Light Rain
3096,2013,7,7,23,214,207,14,41,1500,143,27.4,994.8,26,2,E,1.3,Aotizhongxin,7/7/2013 23:00,2013-07,Light Rain
3097,2013,7,8,0,213,162,13,29,1200,154,24.8,995.2,23.8,4.4,NNE,0.8,Aotizhongxin,7/8/2013 0:00,2013-07,Moderate Rain
3099,2013,7,8,2,62,70,4,28,400,130,23.4,995.7,22.9,1,ESE,0.7,Aotizhongxin,7/8/2013 2:00,2013-07,No Rain
3100,2013,7,8,3,62,70,4,18,400,135,23.2,995.4,22.9,0.1,NE,1,Aotizhongxin,7/8/2013 3:00,2013-07,No Rain
3105,2013,7,8,8,82,65,5,41,600,83,24.7,997.9,23.5,0.5,E,0.7,Aotizhongxin,7/8/2013 8:00,2013-07,No Rain
3106,2013,7,8,9,91,69,5,49,700,66,24.7,997.8,23.3,0.3,E,0.8,Aotizhongxin,7/8/2013 9:00,2013-07,No Rain
3107,2013,7,8,10,88,69,5,50,700,71,25,997.8,24,6.6,E,1.1,Aotizhongxin,7/8/2013 10:00,2013-07,Moderate Rain
3111,2013,7,8,14,94,88,6,53,800,94,25.7,996.5,23.9,3.6,S,0.5,Aotizhongxin,7/8/2013 14:00,2013-07,Light Rain
3113,2013,7,8,16,85,28,6,51,800,107,27.2,996.2,25,0.1,WSW,1.1,Aotizhongxin,7/8/2013 16:00,2013-07,No Rain
3115,2013,7,8,18,106,122,6,83,1000,81,25.3,996.3,23.7,0.1,W,1.5,Aotizhongxin,7/8/2013 18:00,2013-07,No Rain
3117,2013,7,8,20,143,165,9,94,1200,47,24.9,997.6,24.2,0.2,SE,0.1,Aotizhongxin,7/8/2013 20:00,2013-07,No Rain
3118,2013,7,8,21,152,153,9,84,1200,36,24.9,997.5,24.4,0.3,ESE,0,Aotizhongxin,7/8/2013 21:00,2013-07,No Rain
3124,2013,7,9,3,149,107,9,77,1100,2,24.6,997.3,24.3,0.6,NNE,0.1,Aotizhongxin,7/9/2013 3:00,2013-07,No Rain
3125,2013,7,9,4,165,105,10,72,1000,2,24.6,997.4,24.3,0.9,NE,1,Aotizhongxin,7/9/2013 4:00,2013-07,No Rain
3126,2013,7,9,5,150,101,10,78,1000,2,24.5,997.7,24.3,0.2,NNE,0.7,Aotizhongxin,7/9/2013 5:00,2013-07,No Rain
3132,2013,7,9,11,57,57,7,34,700,64,24.9,997.9,24,1,NNE,1,Aotizhongxin,7/9/2013 11:00,2013-07,No Rain
3133,2013,7,9,12,52,25,6,46,700,50,25,998.2,24.3,2.1,NE,0.7,Aotizhongxin,7/9/2013 12:00,2013-07,Light Rain
3135,2013,7,9,14,52,52,4,38,500,60,23.8,997.8,22.9,1.7,NE,1.5,Aotizhongxin,7/9/2013 14:00,2013-07,Light Rain
3136,2013,7,9,15,19,162,3,46,500,59,23.4,998,22.6,0.9,NE,1.4,Aotizhongxin,7/9/2013 15:00,2013-07,No Rain
3137,2013,7,9,16,25,82,3,35,400,67,23.2,997.7,22.5,0.8,NE,0.8,Aotizhongxin,7/9/2013 16:00,2013-07,No Rain
3138,2013,7,9,17,25,56,3,45,500,51,23.5,997.5,22.8,0.2,S,0.6,Aotizhongxin,7/9/2013 17:00,2013-07,No Rain
3149,2013,7,10,4,41,45,5,44,400,2,21.9,998.9,21.7,0.2,NE,1,Aotizhongxin,7/10/2013 4:00,2013-07,No Rain
3150,2013,7,10,5,35,47,3,48,500,2,22,999.3,22,0.2,NNE,0.9,Aotizhongxin,7/10/2013 5:00,2013-07,No Rain
3158,2013,7,10,13,32,49,5,55,600,17,23,1000.2,21.6,1.1,ENE,1.3,Aotizhongxin,7/10/2013 13:00,2013-07,Light Rain
3159,2013,7,10,14,31,47,4,51,500,25,22.8,1000.7,21.6,2.8,N,1.1,Aotizhongxin,7/10/2013 14:00,2013-07,Light Rain
3160,2013,7,10,15,20,30,3,34,400,64,22.6,1000.6,21.9,1.1,WNW,0,Aotizhongxin,7/10/2013 15:00,2013-07,Light Rain
3161,2013,7,10,16,21,30,3,44,500,56,22.8,1000.3,21.8,0.2,NNW,0.7,Aotizhongxin,7/10/2013 16:00,2013-07,No Rain
3262,2013,7,14,21,73,87,7,42,600,80,24,1000.7,23.1,0.5,SW,1.3,Aotizhongxin,7/14/2013 21:00,2013-07,No Rain
3264,2013,7,14,23,61,46,3,53,600,48,23.3,1000.2,23.1,2,W,0.9,Aotizhongxin,7/14/2013 23:00,2013-07,Light Rain
3265,2013,7,15,0,65,48,3,52,700,37,22.7,999.4,22.4,3,NNW,0.5,Aotizhongxin,7/15/2013 0:00,2013-07,Light Rain
3266,2013,7,15,1,60,35,3,62,600,17,22.8,998.7,22.5,4.1,NNE,0.9,Aotizhongxin,7/15/2013 1:00,2013-07,Moderate Rain
3267,2013,7,15,2,51,13,3,38,500,42,22.6,997.6,22.3,1.4,ESE,0.2,Aotizhongxin,7/15/2013 2:00,2013-07,Light Rain
3268,2013,7,15,3,69,47,3,38,700,28,22.7,997.2,22.5,1.8,NE,1.5,Aotizhongxin,7/15/2013 3:00,2013-07,Light Rain
3269,2013,7,15,4,72,55,4,34,1400,4,22.8,996.7,22.6,3,N,0.6,Aotizhongxin,7/15/2013 4:00,2013-07,Light Rain
3270,2013,7,15,5,64,49,5,42,1700,2,23,996.4,22.8,3.1,NNE,1.1,Aotizhongxin,7/15/2013 5:00,2013-07,Light Rain
3271,2013,7,15,6,64,26,5,42,1800,2,22.9,996.1,22.7,9.8,NE,1,Aotizhongxin,7/15/2013 6:00,2013-07,Heavy Rain
3272,2013,7,15,7,51,43,5,44,2000,2,22.9,995.7,22.7,8.8,ESE,0.6,Aotizhongxin,7/15/2013 7:00,2013-07,Heavy Rain
3273,2013,7,15,8,59,55,5,38,2100,2,22.9,995,22.9,4.5,SE,0.1,Aotizhongxin,7/15/2013 8:00,2013-07,Moderate Rain
3274,2013,7,15,9,34,19,4,46,1500,2,23.1,994.5,22.9,3.3,NE,0.5,Aotizhongxin,7/15/2013 9:00,2013-07,Light Rain
3275,2013,7,15,10,34,9,4,46,1400,2,24.1,993.6,24.1,2.5,SW,1.5,Aotizhongxin,7/15/2013 10:00,2013-07,Light Rain
3276,2013,7,15,11,25,14,3,58,1400,2,24.4,993.1,24.2,0.9,SSW,1.3,Aotizhongxin,7/15/2013 11:00,2013-07,No Rain
3277,2013,7,15,12,20,15,4,40,1200,2,24.9,992.8,24.6,0.8,SSW,1,Aotizhongxin,7/15/2013 12:00,2013-07,No Rain
3278,2013,7,15,13,30,12,3,39,1100,2,25.5,992.1,25.2,0.6,S,0.9,Aotizhongxin,7/15/2013 13:00,2013-07,No Rain
3279,2013,7,15,14,38,29,3,40,1000,2,25.5,992,24.8,0.1,SW,0.7,Aotizhongxin,7/15/2013 14:00,2013-07,No Rain
3280,2013,7,15,15,39,18,3,44,1000,2,25,992.2,24.5,1.1,WSW,1.6,Aotizhongxin,7/15/2013 15:00,2013-07,Light Rain
3281,2013,7,15,16,42,32,4,51,1000,2,24.3,991.2,24,3.8,WSW,0,Aotizhongxin,7/15/2013 16:00,2013-07,Light Rain
3282,2013,7,15,17,41,25,4,64,900,2,24.5,990.4,24.2,0.5,N,1.1,Aotizhongxin,7/15/2013 17:00,2013-07,No Rain
3283,2013,7,15,18,46,29,4,66,900,4,24.4,990,24.1,0.6,E,0.6,Aotizhongxin,7/15/2013 18:00,2013-07,No Rain
3284,2013,7,15,19,49,35,3,73,1000,2,24.1,990.7,23.9,0.1,N,0,Aotizhongxin,7/15/2013 19:00,2013-07,No Rain
3285,2013,7,15,20,48,38,3,79,1100,2,23.9,991.5,23.7,0.3,N,0.2,Aotizhongxin,7/15/2013 20:00,2013-07,No Rain
3290,2013,7,16,1,56,45,5,56,1200,2,23.2,990.3,23.2,0.1,NW,0.5,Aotizhongxin,7/16/2013 1:00,2013-07,No Rain
3538,2013,7,26,9,44,87,82,69,2100,8,24.6,998.9,22.7,1.1,NW,1.1,Aotizhongxin,7/26/2013 9:00,2013-07,Light Rain
3539,2013,7,26,10,46,111,71,70,1900,10,24.3,999.1,22.9,0.2,SW,0.9,Aotizhongxin,7/26/2013 10:00,2013-07,No Rain
3540,2013,7,26,11,49,105,55,65,2000,22,23.8,999.1,22.4,0.8,ENE,1.7,Aotizhongxin,7/26/2013 11:00,2013-07,No Rain
3541,2013,7,26,12,56,120,22,64,2400,20,23.3,999,22.3,0.2,NE,1.6,Aotizhongxin,7/26/2013 12:00,2013-07,No Rain
3558,2013,7,27,5,93,79,8,58,1000,4,24.3,995.6,23.1,0.4,NNE,0.7,Aotizhongxin,7/27/2013 5:00,2013-07,No Rain
3559,2013,7,27,6,92,73,7,49,1000,17,24,995.5,23.1,0.1,NE,0.2,Aotizhongxin,7/27/2013 6:00,2013-07,No Rain
3560,2013,7,27,7,90,73,6,49,1200,14,24,996.2,23.3,0.2,NE,0.9,Aotizhongxin,7/27/2013 7:00,2013-07,No Rain
3562,2013,7,27,9,85,43,5,41,1000,31,24.1,995.7,23.4,0.1,NE,0.6,Aotizhongxin,7/27/2013 9:00,2013-07,No Rain
3649,2013,7,31,0,67,127,7,31,500,132,21.2,994.8,20.9,2.3,SE,0.8,Aotizhongxin,7/31/2013 0:00,2013-07,Light Rain
3650,2013,7,31,1,13,13,3,26,200,96,21.3,993.5,21,0.8,NE,1,Aotizhongxin,7/31/2013 1:00,2013-07,No Rain
3667,2013,7,31,18,102,140,8,37,900,202,28.8,992.7,26.4,1.8,SSE,0.6,Aotizhongxin,7/31/2013 18:00,2013-07,Light Rain
3668,2013,7,31,19,117,198,8,54,900,186,22.8,995.4,21.3,1.7,NNE,4.3,Aotizhongxin,7/31/2013 19:00,2013-07,Light Rain
3670,2013,7,31,21,19,19,3,18,300,133,22.4,996.5,22.1,1.6,NE,1.3,Aotizhongxin,7/31/2013 21:00,2013-07,Light Rain
3671,2013,7,31,22,19,32,3,24,300,110,22.6,996.7,22.3,3.6,NE,2,Aotizhongxin,7/31/2013 22:00,2013-07,Light Rain
3678,2013,8,1,5,25,21,3,42,300,42,21,996.7,21,0.1,SE,0.5,Aotizhongxin,8/1/2013 5:00,2013-08,No Rain
3682,2013,8,1,9,38,28,3,30,400,63,23.8,998.8,21.5,0.5,ENE,1,Aotizhongxin,8/1/2013 9:00,2013-08,No Rain
3683,2013,8,1,10,38,30,3,30,400,44,23.4,999.1,22.4,0.6,SSW,0.7,Aotizhongxin,8/1/2013 10:00,2013-08,No Rain
3685,2013,8,1,12,47,56,3,77,700,16,23.1,999.4,21.9,0.3,SSW,0.6,Aotizhongxin,8/1/2013 12:00,2013-08,No Rain
3765,2013,8,4,20,146,73,6,26,900,129,21.6,994.5,20.6,2.3,NE,2.1,Aotizhongxin,8/4/2013 20:00,2013-08,Light Rain
3766,2013,8,4,21,6,6,3,22,300,114,21.5,994.3,20.5,0.5,SW,1.2,Aotizhongxin,8/4/2013 21:00,2013-08,No Rain
3824,2013,8,7,7,34,10,3,34,400,62,25.5,997.2,23.4,0.3,WSW,1.3,Aotizhongxin,8/7/2013 7:00,2013-08,No Rain
3831,2013,8,7,14,21,27,15,34,500,58,23.7,997.6,21.4,6,NE,2.7,Aotizhongxin,8/7/2013 14:00,2013-08,Moderate Rain
3835,2013,8,7,18,16,33,6,43,500,52,22.4,995.5,21.6,0.4,NNE,0.8,Aotizhongxin,8/7/2013 18:00,2013-08,No Rain
3927,2013,8,11,14,249,226,7,36,1400,169,28.5,997.4,27.4,3.6,NE,4.3,Aotizhongxin,8/11/2013 14:00,2013-08,Light Rain
3929,2013,8,11,16,146,146,4,30,1200,138,23.6,998.9,23.1,6.8,SSW,0.4,Aotizhongxin,8/11/2013 16:00,2013-08,Moderate Rain
3932,2013,8,11,19,41,5,3,52,800,58,23.4,1001.5,23.2,0.1,NW,0.2,Aotizhongxin,8/11/2013 19:00,2013-08,No Rain
4054,2013,8,16,21,185,233,11,103,1700,2,28.7,993,27.8,1.1,NNE,0.9,Aotizhongxin,8/16/2013 21:00,2013-08,Light Rain
